Phụ kiện thể thao & ngoài trời/Mũ thể thao & ngoài trời,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Túi thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Optional,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Quần jogger,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Bộ quần áo thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Đồ mặc ngoài theo phong cách thể thao & áo hoodie,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo lót thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng chày,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng rổ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng chuyền,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày chạy bộ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày chơi tennis,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày cầu lông,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Giày thể thao/Giày bóng đá,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Câu cá,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Dao & Bộ dụng cụ sinh tồn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Giày thể thao/Giày đi bộ đường dài,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Đồ bảo hộ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Đồ dùng bếp cắm trại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Võng,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Đèn cắm trại,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Túi ngủ & Bộ chăn ga gối đệm,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/La bàn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Ống nhòm & Kính thiên văn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị giải trí ngoài trời & thư giãn/Giải trí trong nhà,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị thể thao mùa đông/Trượt tuyết,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Optional,Forbid,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị thể thao dưới nước/Lặn,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Optional,Optional,Forbid,Mandatory,Mandatory,Optional
Thiết bị cắm trại & đi bộ đường dài/Lều & Phụ kiện,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Optional,Mandatory,Optional,Forbid,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Đồ bơi trẻ em,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Forbid,Optional,Forbid,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Thiết bị tập thể hình dưới nước,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Thiết bị tập thể hình/Thiết bị tập luyện sự nhanh nhạy,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Ống tay thể thao & hỗ trợ,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Trang bị cho huấn luyện viên & trọng tài,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
"Phụ kiện thể thao & ngoài trời/Danh hiệu, huy chương & giải thưởng",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Phụ kiện thể thao & ngoài trời/Phấn viết tay,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
"Đồ bơi, đồ lướt sóng & đồ lặn/Đồ lặn",,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo mưa thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Đồ lót giữ ấm thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Giày thể thao/Giày lội nước,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Forbid,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo thun thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Áo khoác thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Quần short thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Quần legging thể thao,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
Đồ thể thao & ngoài trời/Trang phục thể thao trẻ em,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,Mandatory,,,,,Mandatory,Mandatory,,Mandatory,,Forbid,Mandatory,Optional,Optional,Optional,Optional,Forbid,Forbid,Forbid,Optional,Mandatory,Mandatory,Optional
